39.02夕霧	OH_OO渋谷源氏	2400	2410	I	御	御	オオン	接頭辞			オオン	和
39.02夕霧	OH_OO渋谷源氏	2410	2420	I	文	文	フミ	名詞-普通名詞-一般			フミ	和
39.02夕霧	OH_OO渋谷源氏	2420	2470	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
39.02夕霧	OH_OO渋谷源氏	2470	2500	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
39.02夕霧	OH_OO渋谷源氏	2500	2510	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
39.02夕霧	OH_OO渋谷源氏	2510	2520	I	ど	ど	ド	助詞-接続助詞			ド	和
39.02夕霧	OH_OO渋谷源氏	2520	2530	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	2530	2550	I	御覧	御覧	ゴラン	名詞-普通名詞-一般			ゴラン	漢
39.02夕霧	OH_OO渋谷源氏	2550	2560	I	じ	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	ジ	和
39.02夕霧	OH_OO渋谷源氏	2560	2570	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	2570	2590	I	入れ	入れる	イレル	動詞-一般	文語下二段-ラ行	未然形-一般	イレ	和
39.02夕霧	OH_OO渋谷源氏	2590	2600	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
39.02夕霧	OH_OO渋谷源氏	2600	2610	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	2610	2640	B	にはか	俄か	ニワカ	形状詞-一般			ニワカ	和
39.02夕霧	OH_OO渋谷源氏	2640	2650	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.02夕霧	OH_OO渋谷源氏	2650	2710	I	あさましかり	浅ましい	アサマシイ	形容詞-一般	文語形容詞-シク	連用形-補助	アサマシカリ	和
39.02夕霧	OH_OO渋谷源氏	2710	2720	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
39.02夕霧	OH_OO渋谷源氏	2720	2760	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
39.02夕霧	OH_OO渋谷源氏	2760	2770	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	2770	2820	I	めざましう	目覚ましい	メザマシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	メザマシュー	和
39.02夕霧	OH_OO渋谷源氏	2820	2830	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	2830	2880	I	恥づかしう	恥ずかしい	ハズカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ハズカシュー	和
39.02夕霧	OH_OO渋谷源氏	2880	2890	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	2890	2910	I	思す	思す	オボス	動詞-一般	文語四段-サ行	連体形-一般	オボス	和
39.02夕霧	OH_OO渋谷源氏	2910	2920	I	に	に	ニ	助詞-接続助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	2920	2930	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	2930	2960	I	心づき	心付き	ココロヅキ	形状詞-一般			ココロズキ	和
39.02夕霧	OH_OO渋谷源氏	2960	2980	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
39.02夕霧	OH_OO渋谷源氏	2980	2990	I	て	て	テ	助詞-接続助詞			テ	和
39.02夕霧	OH_OO渋谷源氏	2990	3000	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3000	3030	I	御息所	御息所	ミヤスドコロ	名詞-普通名詞-一般			ミヤスンドコロ	和
39.02夕霧	OH_OO渋谷源氏	3030	3040	I	の	の	ノ	助詞-格助詞			ノ	和
39.02夕霧	OH_OO渋谷源氏	3040	3060	I	漏り	漏る	モル	動詞-一般	文語四段-ラ行	連用形-一般	モリ	和
39.02夕霧	OH_OO渋谷源氏	3060	3080	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
39.02夕霧	OH_OO渋谷源氏	3080	3110	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
39.02夕霧	OH_OO渋谷源氏	3110	3120	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
39.02夕霧	OH_OO渋谷源氏	3120	3140	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.02夕霧	OH_OO渋谷源氏	3140	3150	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	3150	3160	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3160	3180	I	いと	いと	イト	副詞			イト	和
39.02夕霧	OH_OO渋谷源氏	3180	3230	I	恥づかしう	恥ずかしい	ハズカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ハズカシュー	和
39.02夕霧	OH_OO渋谷源氏	3230	3240	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3240	3260	I	また	又	マタ	副詞			マタ	和
39.02夕霧	OH_OO渋谷源氏	3260	3270	I	，	，		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	3270	3300	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
39.02夕霧	OH_OO渋谷源氏	3300	3320	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.02夕霧	OH_OO渋谷源氏	3320	3330	I	や	や	ヤ	助詞-係助詞			ヤ	和
39.02夕霧	OH_OO渋谷源氏	3330	3340	I	と	と	ト	助詞-格助詞			ト	和
