35.10若菜下	OH_OO渋谷源氏	2140	2150	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
35.10若菜下	OH_OO渋谷源氏	2150	2170	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
35.10若菜下	OH_OO渋谷源氏	2170	2180	I	て	て	テ	助詞-接続助詞			テ	和
35.10若菜下	OH_OO渋谷源氏	2180	2200	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
35.10若菜下	OH_OO渋谷源氏	2200	2210	I	。	。		補助記号-句点				記号
35.10若菜下	OH_OO渋谷源氏	2210	2230	B	内裏	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
35.10若菜下	OH_OO渋谷源氏	2230	2250	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
35.10若菜下	OH_OO渋谷源氏	2250	2260	I	は	は	ハ	助詞-係助詞			ワ	和
35.10若菜下	OH_OO渋谷源氏	2260	2270	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	2270	2310	I	たびたび	度々	タビタビ	副詞			タビタビ	和
35.10若菜下	OH_OO渋谷源氏	2310	2320	I	御	御	オオン	接頭辞			オオン	和
35.10若菜下	OH_OO渋谷源氏	2320	2330	I	使	使い	ツカイ	名詞-普通名詞-一般			ツカイ	和
35.10若菜下	OH_OO渋谷源氏	2330	2350	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
35.10若菜下	OH_OO渋谷源氏	2350	2370	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
35.10若菜下	OH_OO渋谷源氏	2370	2380	I	。	。		補助記号-句点				記号
35.10若菜下	OH_OO渋谷源氏	2380	2400	B	今日	今日	キョウ	名詞-普通名詞-副詞可能			キョー	和
35.10若菜下	OH_OO渋谷源氏	2400	2410	I	も	も	モ	助詞-係助詞			モ	和
35.10若菜下	OH_OO渋谷源氏	2410	2420	I	御	御	オオン	接頭辞			オオン	和
35.10若菜下	OH_OO渋谷源氏	2420	2430	I	文	文	フミ	名詞-普通名詞-一般			フミ	和
35.10若菜下	OH_OO渋谷源氏	2430	2450	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
35.10若菜下	OH_OO渋谷源氏	2450	2460	I	つ	つ	ツ	助動詞	文語助動詞-ツ	終止形-一般	ツ	和
35.10若菜下	OH_OO渋谷源氏	2460	2470	I	と	と	ト	助詞-格助詞			ト	和
35.10若菜下	OH_OO渋谷源氏	2470	2480	I	か	か	カ	助詞-係助詞			カ	和
35.10若菜下	OH_OO渋谷源氏	2480	2490	I	。	。		補助記号-句点				記号
35.10若菜下	OH_OO渋谷源氏	2490	2500	B	院	院	イン	名詞-普通名詞-一般			イン	漢
35.10若菜下	OH_OO渋谷源氏	2500	2510	I	の	の	ノ	助詞-格助詞			ノ	和
35.10若菜下	OH_OO渋谷源氏	2510	2520	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	2520	2540	I	いと	いと	イト	副詞			イト	和
35.10若菜下	OH_OO渋谷源氏	2540	2600	I	やむごとなく	やんごとない	ヤンゴトナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ヤンゴトナク	和
35.10若菜下	OH_OO渋谷源氏	2600	2630	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
35.10若菜下	OH_OO渋谷源氏	2630	2650	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
35.10若菜下	OH_OO渋谷源氏	2650	2680	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
35.10若菜下	OH_OO渋谷源氏	2680	2690	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
35.10若菜下	OH_OO渋谷源氏	2690	2700	I	ば	ば	バ	助詞-接続助詞			バ	和
35.10若菜下	OH_OO渋谷源氏	2700	2710	I	、	、		補助記号-読点				記号
