50.01東屋	OH_OO渋谷源氏	3090	3100	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3100	3140	I	さまざま	様々	サマザマ	形状詞-一般			サマザマ	和
50.01東屋	OH_OO渋谷源氏	3140	3150	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
50.01東屋	OH_OO渋谷源氏	3150	3160	I	こ	是	コ	代名詞			コ	和
50.01東屋	OH_OO渋谷源氏	3160	3170	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	3170	3190	I	扱ひ	扱い	アツカイ	名詞-普通名詞-一般			アツカイ	和
50.01東屋	OH_OO渋谷源氏	3190	3200	I	を	を	ヲ	助詞-格助詞			オ	和
50.01東屋	OH_OO渋谷源氏	3200	3210	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
50.01東屋	OH_OO渋谷源氏	3210	3230	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
50.01東屋	OH_OO渋谷源氏	3230	3240	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3240	3260	I	異人	異人	コトヒト	名詞-普通名詞-一般			コトヒト	和
50.01東屋	OH_OO渋谷源氏	3260	3270	I	と	と	ト	助詞-格助詞			ト	和
50.01東屋	OH_OO渋谷源氏	3270	3290	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
50.01東屋	OH_OO渋谷源氏	3290	3310	I	隔て	隔てる	ヘダテル	動詞-一般	文語下二段-タ行	連用形-一般	ヘダテ	和
50.01東屋	OH_OO渋谷源氏	3310	3330	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
50.01東屋	OH_OO渋谷源氏	3330	3340	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
50.01東屋	OH_OO渋谷源氏	3340	3350	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	3350	3370	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
50.01東屋	OH_OO渋谷源氏	3370	3390	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
50.01東屋	OH_OO渋谷源氏	3390	3400	I	ば	ば	バ	助詞-接続助詞			バ	和
50.01東屋	OH_OO渋谷源氏	3400	3410	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3410	3420	I	常	常	ツネ	名詞-普通名詞-一般			ツネ	和
50.01東屋	OH_OO渋谷源氏	3420	3430	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	3430	3450	I	いと	いと	イト	副詞			イト	和
50.01東屋	OH_OO渋谷源氏	3450	3480	I	つらき	辛い	ツライ	形容詞-一般	文語形容詞-ク	連体形-一般	ツラキ	和
50.01東屋	OH_OO渋谷源氏	3480	3500	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
50.01東屋	OH_OO渋谷源氏	3500	3510	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	3510	3520	I	守	守	カミ	名詞-普通名詞-一般			カミ	和
50.01東屋	OH_OO渋谷源氏	3520	3530	I	を	を	ヲ	助詞-格助詞			オ	和
50.01東屋	OH_OO渋谷源氏	3530	3540	I	も	も	モ	助詞-係助詞			モ	和
50.01東屋	OH_OO渋谷源氏	3540	3560	I	恨み	恨みる	ウラミル	動詞-一般	文語上二段-マ行	連用形-一般	ウラミ	和
50.01東屋	OH_OO渋谷源氏	3560	3580	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
50.01東屋	OH_OO渋谷源氏	3580	3590	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3590	3600	I	「	「		補助記号-括弧開				記号
50.01東屋	OH_OO渋谷源氏	3600	3630	I	いかで	如何で	イカデ	副詞			イカデ	和
50.01東屋	OH_OO渋谷源氏	3630	3650	I	ひき	引く	ヒク	動詞-一般	文語四段-カ行	連用形-一般	ヒキ	和
50.01東屋	OH_OO渋谷源氏	3650	3680	I	すぐれ	優れる	スグレル	動詞-一般	文語下二段-ラ行	連用形-一般	スグレ	和
50.01東屋	OH_OO渋谷源氏	3680	3690	I	て	て	テ	助詞-接続助詞			テ	和
50.01東屋	OH_OO渋谷源氏	3690	3700	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3700	3760	I	おもだたしき	面立たしい	オモダタシイ	形容詞-一般	文語形容詞-シク	連体形-一般	オモダタシキ	和
50.01東屋	OH_OO渋谷源氏	3760	3780	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
50.01東屋	OH_OO渋谷源氏	3780	3790	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	3790	3800	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
50.01東屋	OH_OO渋谷源氏	3800	3820	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
50.01東屋	OH_OO渋谷源氏	3820	3830	I	て	て	テ	助詞-接続助詞			テ	和
50.01東屋	OH_OO渋谷源氏	3830	3840	I	も	も	モ	助詞-係助詞			モ	和
50.01東屋	OH_OO渋谷源氏	3840	3860	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
50.01東屋	OH_OO渋谷源氏	3860	3870	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
50.01東屋	OH_OO渋谷源氏	3870	3890	I	しが	しか	シカ	助詞-終助詞			シガ	和
50.01東屋	OH_OO渋谷源氏	3890	3900	I	な	な	ナ	助詞-終助詞			ナ	和
50.01東屋	OH_OO渋谷源氏	3900	3910	I	」	」		補助記号-括弧閉				記号
50.01東屋	OH_OO渋谷源氏	3910	3920	I	と	と	ト	助詞-格助詞			ト	和
50.01東屋	OH_OO渋谷源氏	3920	3930	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3930	3970	I	明け暮れ	明け暮れ	アケクレ	名詞-普通名詞-サ変可能			アケクレ	和
50.01東屋	OH_OO渋谷源氏	3970	3980	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3980	3990	I	こ	是	コ	代名詞			コ	和
50.01東屋	OH_OO渋谷源氏	3990	4000	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	4000	4010	I	母	母	ハハ	名詞-普通名詞-一般			ハハ	和
50.01東屋	OH_OO渋谷源氏	4010	4020	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
50.01東屋	OH_OO渋谷源氏	4020	4030	I	は	は	ハ	助詞-係助詞			ワ	和
50.01東屋	OH_OO渋谷源氏	4030	4050	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
50.01東屋	OH_OO渋谷源氏	4050	4070	I	扱ひ	扱う	アツカウ	動詞-一般	文語四段-ハ行	連用形-一般	アツカイ	和
50.01東屋	OH_OO渋谷源氏	4070	4090	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
50.01東屋	OH_OO渋谷源氏	4090	4100	I	。	。		補助記号-句点				記号
50.01東屋	OH_OO渋谷源氏	4100	4140	B	さま容貌	様形	サマカタチ	名詞-普通名詞-一般			サマカタチ	和
50.01東屋	OH_OO渋谷源氏	4140	4150	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	4150	4160	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	4160	4190	I	なのめ	斜め	ナナメ	名詞-普通名詞-一般			ナノメ	和
50.01東屋	OH_OO渋谷源氏	4190	4200	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	4200	4210	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	4210	4230	I	とり	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
50.01東屋	OH_OO渋谷源氏	4230	4250	I	まぜ	交ぜる	マゼル	動詞-一般	文語下二段-ザ行	連用形-一般	マゼ	和
50.01東屋	OH_OO渋谷源氏	4250	4260	I	て	て	テ	助詞-接続助詞			テ	和
50.01東屋	OH_OO渋谷源氏	4260	4270	I	も	も	モ	助詞-係助詞			モ	和
