49.07宿木	OH_OO渋谷源氏	2220	2230	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
49.07宿木	OH_OO渋谷源氏	2230	2240	I	は	は	ハ	助詞-係助詞			ワ	和
49.07宿木	OH_OO渋谷源氏	2240	2260	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
49.07宿木	OH_OO渋谷源氏	2260	2270	I	来	来る	クル	動詞-非自立可能	文語カ行変格	未然形-一般	コ	和
49.07宿木	OH_OO渋谷源氏	2270	2280	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
49.07宿木	OH_OO渋谷源氏	2280	2290	I	。	。		補助記号-句点				記号
49.07宿木	OH_OO渋谷源氏	2290	2300	B	「	「		補助記号-括弧開				記号
49.07宿木	OH_OO渋谷源氏	2300	2330	I	いかに	如何に	イカニ	副詞			イカニ	和
49.07宿木	OH_OO渋谷源氏	2330	2350	I	眺め	眺める	ナガメル	動詞-一般	文語下二段-マ行	連用形-一般	ナガメ	和
49.07宿木	OH_OO渋谷源氏	2350	2380	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
49.07宿木	OH_OO渋谷源氏	2380	2400	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
49.07宿木	OH_OO渋谷源氏	2400	2410	I	と	と	ト	助詞-格助詞			ト	和
49.07宿木	OH_OO渋谷源氏	2410	2430	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
49.07宿木	OH_OO渋谷源氏	2430	2450	I	やる	遣る	ヤル	動詞-非自立可能	文語四段-ラ行	連体形-一般	ヤル	和
49.07宿木	OH_OO渋谷源氏	2450	2460	I	に	に	ニ	助詞-接続助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	2460	2470	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	2470	2490	I	同じ	同じい	オナジイ	形容詞-一般	文語形容詞-シク	語幹-一般	オナジ	和
49.07宿木	OH_OO渋谷源氏	2490	2500	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
49.07宿木	OH_OO渋谷源氏	2500	2520	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
49.07宿木	OH_OO渋谷源氏	2520	2530	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
49.07宿木	OH_OO渋谷源氏	2530	2540	I	も	も	モ	助詞-係助詞			モ	和
49.07宿木	OH_OO渋谷源氏	2540	2560	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
49.07宿木	OH_OO渋谷源氏	2560	2580	I	物語	物語	モノガタリ	名詞-普通名詞-一般			モノガタリ	和
49.07宿木	OH_OO渋谷源氏	2580	2590	I	も	も	モ	助詞-係助詞			モ	和
49.07宿木	OH_OO渋谷源氏	2590	2620	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
49.07宿木	OH_OO渋谷源氏	2620	2630	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
49.07宿木	OH_OO渋谷源氏	2630	2650	I	とて	とて	トテ	助詞-格助詞			トテ	和
49.07宿木	OH_OO渋谷源氏	2650	2670	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
49.07宿木	OH_OO渋谷源氏	2670	2680	I	。	。		補助記号-句点				記号
49.07宿木	OH_OO渋谷源氏	2680	2720	B	はかなく	儚い	ハカナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ハカナク	和
49.07宿木	OH_OO渋谷源氏	2720	2730	I	も	も	モ	助詞-係助詞			モ	和
49.07宿木	OH_OO渋谷源氏	2730	2760	I	積もる	積もる	ツモル	動詞-一般	文語四段-ラ行	連体形-一般	ツモル	和
49.07宿木	OH_OO渋谷源氏	2760	2780	I	年月	年月	トシツキ	名詞-普通名詞-一般			トシツキ	和
49.07宿木	OH_OO渋谷源氏	2780	2800	I	かな	哉	カナ	助詞-終助詞			カナ	和
