51.03浮舟	OH_OO渋谷源氏	4140	4160	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
51.03浮舟	OH_OO渋谷源氏	4160	4180	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
51.03浮舟	OH_OO渋谷源氏	4180	4190	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
51.03浮舟	OH_OO渋谷源氏	4190	4200	I	か	か	カ	助詞-係助詞			カ	和
51.03浮舟	OH_OO渋谷源氏	4200	4210	I	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	4210	4220	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	4220	4230	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
51.03浮舟	OH_OO渋谷源氏	4230	4240	I	も	も	モ	助詞-係助詞			モ	和
51.03浮舟	OH_OO渋谷源氏	4240	4260	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
51.03浮舟	OH_OO渋谷源氏	4260	4280	I	寄り	寄る	ヨル	動詞-一般	文語四段-ラ行	連用形-一般	ヨリ	和
51.03浮舟	OH_OO渋谷源氏	4280	4310	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
51.03浮舟	OH_OO渋谷源氏	4310	4320	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
51.03浮舟	OH_OO渋谷源氏	4320	4340	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
51.03浮舟	OH_OO渋谷源氏	4340	4350	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	4350	4410	I	あさましけれ	浅ましい	アサマシイ	形容詞-一般	文語形容詞-シク	已然形-一般	アサマシケレ	和
51.03浮舟	OH_OO渋谷源氏	4410	4420	I	。	。		補助記号-句点				記号
51.03浮舟	OH_OO渋谷源氏	4420	4450	B	心憂き	心憂い	ココロウイ	形容詞-一般	文語形容詞-ク	連体形-一般	ココロウキ	和
51.03浮舟	OH_OO渋谷源氏	4450	4460	I	身	身	ミ	名詞-普通名詞-一般			ミ	和
51.03浮舟	OH_OO渋谷源氏	4460	4470	I	に	に	ニ	助詞-格助詞			ニ	和
51.03浮舟	OH_OO渋谷源氏	4470	4480	I	は	は	ハ	助詞-係助詞			ワ	和
51.03浮舟	OH_OO渋谷源氏	4480	4490	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	4490	4520	I	すずろ	漫	スズロ	形状詞-一般			スズロ	和
51.03浮舟	OH_OO渋谷源氏	4520	4540	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
