34.04若菜上	OH_OO渋谷源氏	2620	2640	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
34.04若菜上	OH_OO渋谷源氏	2640	2650	I	る	れる	レル	助動詞	文語下二段-ラ行	終止形-一般	ル	和
34.04若菜上	OH_OO渋谷源氏	2650	2660	I	。	。		補助記号-句点				記号
34.04若菜上	OH_OO渋谷源氏	2660	2670	B	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
34.04若菜上	OH_OO渋谷源氏	2670	2680	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	2680	2710	I	年ごろ	年頃	トシゴロ	名詞-普通名詞-一般			トシゴロ	和
34.04若菜上	OH_OO渋谷源氏	2710	2720	I	と	と	ト	助詞-格助詞			ト	和
34.04若菜上	OH_OO渋谷源氏	2720	2740	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
34.04若菜上	OH_OO渋谷源氏	2740	2750	I	て	て	テ	助詞-接続助詞			テ	和
34.04若菜上	OH_OO渋谷源氏	2750	2760	I	は	は	ハ	助詞-係助詞			ワ	和
34.04若菜上	OH_OO渋谷源氏	2760	2770	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	2770	2800	I	まして	況して	マシテ	副詞			マシテ	和
34.04若菜上	OH_OO渋谷源氏	2800	2830	I	かたみ	互	カタミ	名詞-普通名詞-一般			カタミ	和
34.04若菜上	OH_OO渋谷源氏	2830	2840	I	に	に	ニ	助詞-格助詞			ニ	和
34.04若菜上	OH_OO渋谷源氏	2840	2860	I	隔て	隔てる	ヘダテル	動詞-一般	文語下二段-タ行	連用形-一般	ヘダテ	和
34.04若菜上	OH_OO渋谷源氏	2860	2890	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.04若菜上	OH_OO渋谷源氏	2890	2920	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
34.04若菜上	OH_OO渋谷源氏	2920	2940	I	こと	事	コト	名詞-普通名詞-一般			コト	和
34.04若菜上	OH_OO渋谷源氏	2940	2960	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
34.04若菜上	OH_OO渋谷源氏	2960	2970	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	2970	3000	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
34.04若菜上	OH_OO渋谷源氏	3000	3020	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
34.04若菜上	OH_OO渋谷源氏	3020	3030	I	御	御	オオン	接頭辞			オオン	和
34.04若菜上	OH_OO渋谷源氏	3030	3040	I	仲	仲	ナカ	名詞-普通名詞-一般			ナカ	和
34.04若菜上	OH_OO渋谷源氏	3040	3060	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
34.04若菜上	OH_OO渋谷源氏	3060	3070	I	ば	ば	バ	助詞-接続助詞			バ	和
34.04若菜上	OH_OO渋谷源氏	3070	3080	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	3080	3110	I	しばし	暫し	シバシ	副詞			シバシ	和
34.04若菜上	OH_OO渋谷源氏	3110	3120	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
34.04若菜上	OH_OO渋谷源氏	3120	3130	I	に	に	ニ	助詞-格助詞			ニ	和
34.04若菜上	OH_OO渋谷源氏	3130	3150	I	隔て	隔てる	ヘダテル	動詞-一般	文語下二段-タ行	連用形-一般	ヘダテ	和
34.04若菜上	OH_OO渋谷源氏	3150	3170	I	残し	残す	ノコス	動詞-一般	文語四段-サ行	連用形-一般	ノコシ	和
34.04若菜上	OH_OO渋谷源氏	3170	3190	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
34.04若菜上	OH_OO渋谷源氏	3190	3210	I	こと	事	コト	名詞-普通名詞-一般			コト	和
34.04若菜上	OH_OO渋谷源氏	3210	3230	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
34.04若菜上	OH_OO渋谷源氏	3230	3240	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
34.04若菜上	OH_OO渋谷源氏	3240	3250	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	3250	3290	I	いぶせき	いぶせい	イブセイ	形容詞-一般	文語形容詞-ク	連体形-一般	イブセキ	和
34.04若菜上	OH_OO渋谷源氏	3290	3300	I	を	を	ヲ	助詞-格助詞			オ	和
34.04若菜上	OH_OO渋谷源氏	3300	3310	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	3310	3320	I	そ	其	ソ	代名詞			ソ	和
34.04若菜上	OH_OO渋谷源氏	3320	3330	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	3330	3340	I	夜	夜	ヨ	名詞-普通名詞-一般			ヨ	和
34.04若菜上	OH_OO渋谷源氏	3340	3350	I	は	は	ハ	助詞-係助詞			ワ	和
34.04若菜上	OH_OO渋谷源氏	3350	3370	I	うち	打ち	ウチ	接頭辞			ウチ	和
34.04若菜上	OH_OO渋谷源氏	3370	3390	I	休み	休む	ヤスム	動詞-一般	文語四段-マ行	連用形-一般	ヤスミ	和
34.04若菜上	OH_OO渋谷源氏	3390	3400	I	て	て	テ	助詞-接続助詞			テ	和
34.04若菜上	OH_OO渋谷源氏	3400	3430	I	明かし	明かす	アカス	動詞-一般	文語四段-サ行	連用形-一般	アカシ	和
34.04若菜上	OH_OO渋谷源氏	3430	3460	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.04若菜上	OH_OO渋谷源氏	3460	3470	I	つ	つ	ツ	助動詞	文語助動詞-ツ	終止形-一般	ツ	和
34.04若菜上	OH_OO渋谷源氏	3470	3480	I	。	。		補助記号-句点				記号
34.04若菜上	OH_OO渋谷源氏	3480	3500	B	また	又	マタ	副詞			マタ	和
34.04若菜上	OH_OO渋谷源氏	3500	3510	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	3510	3520	I	日	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
34.04若菜上	OH_OO渋谷源氏	3520	3530	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	3530	3540	I	雪	雪	ユキ	名詞-普通名詞-一般			ユキ	和
34.04若菜上	OH_OO渋谷源氏	3540	3560	I	うち	打ち	ウチ	接頭辞			ウチ	和
34.04若菜上	OH_OO渋谷源氏	3560	3580	I	降り	降る	フル	動詞-一般	文語四段-ラ行	連用形-一般	フリ	和
34.04若菜上	OH_OO渋谷源氏	3580	3590	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	3590	3600	I	空	空	ソラ	名詞-普通名詞-一般			ソラ	和
34.04若菜上	OH_OO渋谷源氏	3600	3610	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	3610	3640	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
34.04若菜上	OH_OO渋谷源氏	3640	3650	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	3650	3700	I	ものあはれ	物哀れ	モノアワレ	形状詞-一般			モノアワレ	和
34.04若菜上	OH_OO渋谷源氏	3700	3710	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.04若菜上	OH_OO渋谷源氏	3710	3720	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	3720	3740	I	過ぎ	過ぎる	スギル	動詞-非自立可能	文語上二段-ガ行	連用形-一般	スギ	和
34.04若菜上	OH_OO渋谷源氏	3740	3750	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
34.04若菜上	OH_OO渋谷源氏	3750	3760	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
34.04若菜上	OH_OO渋谷源氏	3760	3770	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
34.04若菜上	OH_OO渋谷源氏	3770	3790	I	行く	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
34.04若菜上	OH_OO渋谷源氏	3790	3800	I	先	先	サキ	名詞-普通名詞-副詞可能			サキ	和
34.04若菜上	OH_OO渋谷源氏	3800	3810	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	3810	3820	I	御	御	オオン	接頭辞			オオン	和
34.04若菜上	OH_OO渋谷源氏	3820	3840	I	物語	物語	モノガタリ	名詞-普通名詞-一般			モノガタリ	和
34.04若菜上	OH_OO渋谷源氏	3840	3870	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.04若菜上	OH_OO渋谷源氏	3870	3900	I	交はし	交わす	カワス	動詞-非自立可能	文語四段-サ行	連用形-一般	カワシ	和
34.04若菜上	OH_OO渋谷源氏	3900	3930	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
34.04若菜上	OH_OO渋谷源氏	3930	3940	I	。	。		補助記号-句点				記号
34.04若菜上	OH_OO渋谷源氏	3940	3950	B	「	「		補助記号-括弧開				記号
34.04若菜上	OH_OO渋谷源氏	3950	3960	I	院	院	イン	名詞-普通名詞-一般			イン	漢
34.04若菜上	OH_OO渋谷源氏	3960	3970	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	3970	4000	I	頼もし	頼もしい	タノモシイ	形容詞-一般	文語形容詞-シク	語幹-一般	タノモシ	和
34.04若菜上	OH_OO渋谷源氏	4000	4010	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
34.04若菜上	OH_OO渋谷源氏	4010	4030	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
34.04若菜上	OH_OO渋谷源氏	4030	4050	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
34.04若菜上	OH_OO渋谷源氏	4050	4080	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.04若菜上	OH_OO渋谷源氏	4080	4090	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
34.04若菜上	OH_OO渋谷源氏	4090	4110	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
34.04若菜上	OH_OO渋谷源氏	4110	4120	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	4120	4130	I	御	御	オオン	接頭辞			オオン	和
34.04若菜上	OH_OO渋谷源氏	4130	4170	I	とぶらひ	訪い	トブライ	名詞-普通名詞-一般			トブライ	和
34.04若菜上	OH_OO渋谷源氏	4170	4180	I	に	に	ニ	助詞-格助詞			ニ	和
34.04若菜上	OH_OO渋谷源氏	4180	4200	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
34.04若菜上	OH_OO渋谷源氏	4200	4210	I	て	て	テ	助詞-接続助詞			テ	和
