06.02末摘花	OH_OO渋谷源氏	3470	3500	I	うつれ	映る	ウツル	動詞-一般	文語四段-ラ行	命令形	ウツレ	和
06.02末摘花	OH_OO渋谷源氏	3500	3510	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
06.02末摘花	OH_OO渋谷源氏	3510	3520	I	が	が	ガ	助詞-格助詞			ガ	和
06.02末摘花	OH_OO渋谷源氏	3520	3530	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	3530	3550	I	いと	いと	イト	副詞			イト	和
06.02末摘花	OH_OO渋谷源氏	3550	3580	I	きよら	清ら	キヨラ	形状詞-一般			キヨラ	和
06.02末摘花	OH_OO渋谷源氏	3580	3600	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
06.02末摘花	OH_OO渋谷源氏	3600	3610	I	を	を	ヲ	助詞-格助詞			オ	和
06.02末摘花	OH_OO渋谷源氏	3610	3620	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
06.02末摘花	OH_OO渋谷源氏	3620	3650	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
06.02末摘花	OH_OO渋谷源氏	3650	3660	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	3660	3670	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	3670	3710	I	手づから	手ずから	テズカラ	副詞			テズカラ	和
06.02末摘花	OH_OO渋谷源氏	3710	3720	I	こ	是	コ	代名詞			コ	和
06.02末摘花	OH_OO渋谷源氏	3720	3730	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	3730	3750	I	赤鼻	赤鼻	アカハナ	名詞-普通名詞-一般			アカハナ	和
06.02末摘花	OH_OO渋谷源氏	3750	3760	I	を	を	ヲ	助詞-格助詞			オ	和
06.02末摘花	OH_OO渋谷源氏	3760	3780	I	描き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
06.02末摘花	OH_OO渋谷源氏	3780	3800	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
06.02末摘花	OH_OO渋谷源氏	3800	3810	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	3810	3850	I	にほはし	匂わす	ニオワス	動詞-一般	文語四段-サ行	連用形-一般	ニオワシ	和
06.02末摘花	OH_OO渋谷源氏	3850	3860	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	3860	3870	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
06.02末摘花	OH_OO渋谷源氏	3870	3900	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
06.02末摘花	OH_OO渋谷源氏	3900	3910	I	に	に	ニ	助詞-接続助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	3910	3920	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	3920	3940	I	かく	斯く	カク	副詞			カク	和
06.02末摘花	OH_OO渋谷源氏	3940	3960	I	よき	良い	ヨイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ヨキ	和
06.02末摘花	OH_OO渋谷源氏	3960	3970	I	顔	顔	カオ	名詞-普通名詞-一般			カオ	和
06.02末摘花	OH_OO渋谷源氏	3970	3990	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
06.02末摘花	OH_OO渋谷源氏	3990	4000	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	4000	4020	I	さて	然て	サテ	副詞			サテ	和
06.02末摘花	OH_OO渋谷源氏	4020	4050	I	まじれ	交じる	マジル	動詞-一般	文語四段-ラ行	命令形	マジレ	和
06.02末摘花	OH_OO渋谷源氏	4050	4060	I	ら	り	リ	助動詞	文語助動詞-リ	未然形-一般	ラ	和
06.02末摘花	OH_OO渋谷源氏	4060	4070	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
06.02末摘花	OH_OO渋谷源氏	4070	4080	I	は	は	ハ	助詞-係助詞			ワ	和
06.02末摘花	OH_OO渋谷源氏	4080	4130	I	見苦しかる	見苦しい	ミグルシイ	形容詞-一般	文語形容詞-シク	連体形-補助	ミグルシカル	和
06.02末摘花	OH_OO渋谷源氏	4130	4160	I	べかり	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-補助	ベカリ	和
06.02末摘花	OH_OO渋谷源氏	4160	4180	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
06.02末摘花	OH_OO渋谷源氏	4180	4190	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	4190	4200	B	姫	姫	ヒメ	名詞-普通名詞-一般			ヒメ	和
06.02末摘花	OH_OO渋谷源氏	4200	4210	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
06.02末摘花	OH_OO渋谷源氏	4210	4220	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	4220	4230	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
06.02末摘花	OH_OO渋谷源氏	4230	4240	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	4240	4250	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	4250	4290	I	いみじく	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連用形-一般	イミジク	和
06.02末摘花	OH_OO渋谷源氏	4290	4310	I	笑ひ	笑う	ワラウ	動詞-一般	文語四段-ハ行	連用形-一般	ワライ	和
06.02末摘花	OH_OO渋谷源氏	4310	4340	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
