34.08若菜上	OH_OO渋谷源氏	3250	3260	I	を	を	ヲ	助詞-格助詞			オ	和
34.08若菜上	OH_OO渋谷源氏	3260	3270	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	3270	3300	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
34.08若菜上	OH_OO渋谷源氏	3300	3310	I	折	折	オリ	名詞-普通名詞-副詞可能			オリ	和
34.08若菜上	OH_OO渋谷源氏	3310	3320	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	3320	3350	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.08若菜上	OH_OO渋谷源氏	3350	3370	I	馴れ	慣れる	ナレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	ナレ	和
34.08若菜上	OH_OO渋谷源氏	3370	3380	I	な	ぬ	ヌ	助動詞	文語助動詞-ヌ	未然形-一般	ナ	和
34.08若菜上	OH_OO渋谷源氏	3380	3390	I	ば	ば	バ	助詞-接続助詞			バ	和
34.08若菜上	OH_OO渋谷源氏	3390	3400	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	3400	3430	I	心安く	心安い	ココロヤスイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロヤスク	和
34.08若菜上	OH_OO渋谷源氏	3430	3450	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
34.08若菜上	OH_OO渋谷源氏	3450	3470	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
34.08若菜上	OH_OO渋谷源氏	3470	3490	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
34.08若菜上	OH_OO渋谷源氏	3490	3500	I	」	」		補助記号-括弧閉				記号
34.08若菜上	OH_OO渋谷源氏	3500	3510	B	と	と	ト	助詞-格助詞			ト	和
34.08若菜上	OH_OO渋谷源氏	3510	3520	I	，	，		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	3520	3540	I	大殿	大殿	オオトノ	名詞-普通名詞-一般			オートノ	和
34.08若菜上	OH_OO渋谷源氏	3540	3550	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	3550	3580	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.08若菜上	OH_OO渋谷源氏	3580	3610	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
34.08若菜上	OH_OO渋谷源氏	3610	3620	I	ば	ば	バ	助詞-接続助詞			バ	和
34.08若菜上	OH_OO渋谷源氏	3620	3630	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	3630	3650	I	うち	打ち	ウチ	接頭辞			ウチ	和
34.08若菜上	OH_OO渋谷源氏	3650	3670	I	笑み	笑む	エム	動詞-一般	文語四段-マ行	連用形-一般	エミ	和
34.08若菜上	OH_OO渋谷源氏	3670	3680	I	て	て	テ	助詞-接続助詞			テ	和
34.08若菜上	OH_OO渋谷源氏	3680	3690	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	3690	3700	B	「	「		補助記号-括弧開				記号
34.08若菜上	OH_OO渋谷源氏	3700	3720	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
34.08若菜上	OH_OO渋谷源氏	3720	3740	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
34.08若菜上	OH_OO渋谷源氏	3740	3760	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
34.08若菜上	OH_OO渋谷源氏	3760	3780	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
34.08若菜上	OH_OO渋谷源氏	3780	3790	I	御	御	オオン	接頭辞			オオン	和
34.08若菜上	OH_OO渋谷源氏	3790	3820	I	語らひ	語らい	カタライ	名詞-普通名詞-一般			カタライ	和
34.08若菜上	OH_OO渋谷源氏	3820	3830	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.08若菜上	OH_OO渋谷源氏	3830	3850	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
34.08若菜上	OH_OO渋谷源氏	3850	3860	I	は	は	ハ	助詞-係助詞			ワ	和
34.08若菜上	OH_OO渋谷源氏	3860	3870	I	あ	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-撥音便	アン	和
34.08若菜上	OH_OO渋谷源氏	3870	3890	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-伝聞	已然形-一般	ナレ	和
34.08若菜上	OH_OO渋谷源氏	3890	3900	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	3900	3920	B	いと	いと	イト	副詞			イト	和
34.08若菜上	OH_OO渋谷源氏	3920	3930	I	幼	幼い	オサナイ	形容詞-一般	文語形容詞-ク	語幹-一般	オサナ	和
34.08若菜上	OH_OO渋谷源氏	3930	3940	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
34.08若菜上	OH_OO渋谷源氏	3940	3950	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.08若菜上	OH_OO渋谷源氏	3950	3980	I	ものし	ものする	モノスル	動詞-非自立可能	文語サ行変格	連用形-一般	モノシ	和
34.08若菜上	OH_OO渋谷源氏	3980	4010	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
34.08若菜上	OH_OO渋谷源氏	4010	4030	I	める	めり	メリ	助動詞	文語助動詞-メリ	連体形-一般	メル	和
34.08若菜上	OH_OO渋谷源氏	4030	4040	I	を	を	ヲ	助詞-格助詞			オ	和
34.08若菜上	OH_OO渋谷源氏	4040	4050	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	4050	4110	I	うしろやすく	後ろ安い	ウシロヤスイ	形容詞-一般	文語形容詞-ク	連用形-一般	ウシロヤスク	和
34.08若菜上	OH_OO渋谷源氏	4110	4130	I	教へ	教える	オシエル	動詞-一般	文語下二段-ハ行	連用形-一般	オシエ	和
34.08若菜上	OH_OO渋谷源氏	4130	4150	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
34.08若菜上	OH_OO渋谷源氏	4150	4180	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.08若菜上	OH_OO渋谷源氏	4180	4200	I	かし	かし	カシ	助詞-終助詞			カシ	和
34.08若菜上	OH_OO渋谷源氏	4200	4210	I	」	」		補助記号-括弧閉				記号
34.08若菜上	OH_OO渋谷源氏	4210	4220	B	と	と	ト	助詞-格助詞			ト	和
34.08若菜上	OH_OO渋谷源氏	4220	4230	I	，	，		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	4230	4250	I	許し	許す	ユルス	動詞-一般	文語四段-サ行	連用形-一般	ユルシ	和
34.08若菜上	OH_OO渋谷源氏	4250	4280	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.08若菜上	OH_OO渋谷源氏	4280	4310	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
34.08若菜上	OH_OO渋谷源氏	4310	4320	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	4320	4330	B	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
34.08若菜上	OH_OO渋谷源氏	4330	4350	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
34.08若菜上	OH_OO渋谷源氏	4350	4360	I	も	も	モ	助詞-係助詞			モ	和
