44.01竹河	OH_OO渋谷源氏	3270	3290	I	大臣	大臣	オトド	名詞-普通名詞-一般			オトド	和
44.01竹河	OH_OO渋谷源氏	3290	3300	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	3300	3310	I	御	御	オオン	接頭辞			オオン	和
44.01竹河	OH_OO渋谷源氏	3310	3330	I	名残	名残り	ナゴリ	名詞-普通名詞-一般			ナゴリ	和
44.01竹河	OH_OO渋谷源氏	3330	3340	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	3340	3380	I	うちうち	内々	ウチウチ	名詞-普通名詞-一般			ウチウチ	和
44.01竹河	OH_OO渋谷源氏	3380	3390	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	3390	3400	I	御	御	オオン	接頭辞			オオン	和
44.01竹河	OH_OO渋谷源氏	3400	3420	I	宝物	宝物	タカラモノ	名詞-普通名詞-一般			タカラモノ	和
44.01竹河	OH_OO渋谷源氏	3420	3430	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	3430	3450	I	領じ	領する	リョウスル	動詞-一般	文語サ行変格	連用形-一般	ロージ	混
44.01竹河	OH_OO渋谷源氏	3450	3480	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
44.01竹河	OH_OO渋谷源氏	3480	3500	I	所々	所々	トコロドコロ	名詞-普通名詞-副詞可能			トコロドコロ	和
44.01竹河	OH_OO渋谷源氏	3500	3510	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	3510	3530	I	など	など	ナド	副詞			ナド	和
44.01竹河	OH_OO渋谷源氏	3530	3540	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	3540	3550	I	そ	其	ソ	代名詞			ソ	和
44.01竹河	OH_OO渋谷源氏	3550	3560	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	3560	3570	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
44.01竹河	OH_OO渋谷源氏	3570	3580	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	3580	3600	I	衰へ	衰え	オトロエ	名詞-普通名詞-一般			オトロエ	和
44.01竹河	OH_OO渋谷源氏	3600	3610	I	は	は	ハ	助詞-係助詞			ワ	和
44.01竹河	OH_OO渋谷源氏	3610	3640	I	なけれ	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	已然形-一般	ナケレ	和
44.01竹河	OH_OO渋谷源氏	3640	3650	I	ど	ど	ド	助詞-接続助詞			ド	和
44.01竹河	OH_OO渋谷源氏	3650	3660	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	3660	3700	I	おほかた	大方	オオカタ	名詞-普通名詞-一般			オーカタ	和
44.01竹河	OH_OO渋谷源氏	3700	3710	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	3710	3750	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
44.01竹河	OH_OO渋谷源氏	3750	3770	I	引き	引く	ヒク	動詞-一般	文語四段-カ行	連用形-一般	ヒキ	和
44.01竹河	OH_OO渋谷源氏	3770	3790	I	変へ	変える	カエル	動詞-一般	文語下二段-ハ行	連用形-一般	カエ	和
44.01竹河	OH_OO渋谷源氏	3790	3810	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
44.01竹河	OH_OO渋谷源氏	3810	3830	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
44.01竹河	OH_OO渋谷源氏	3830	3840	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
44.01竹河	OH_OO渋谷源氏	3840	3850	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	3850	3860	I	殿	殿	トノ	名詞-普通名詞-一般			トノ	和
44.01竹河	OH_OO渋谷源氏	3860	3870	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	3870	3890	I	うち	打ち	ウチ	接頭辞			ウチ	和
44.01竹河	OH_OO渋谷源氏	3890	3930	I	しめやか	しめやか	シメヤカ	形状詞-一般			シメヤカ	和
44.01竹河	OH_OO渋谷源氏	3930	3940	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
44.01竹河	OH_OO渋谷源氏	3940	3960	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
44.01竹河	OH_OO渋谷源氏	3960	3980	I	ゆく	行く	イク	動詞-非自立可能	文語四段-カ行	終止形-一般	ユク	和
44.01竹河	OH_OO渋谷源氏	3980	3990	I	。	。		補助記号-句点				記号
44.01竹河	OH_OO渋谷源氏	3990	4010	B	尚侍	守	カミ	名詞-普通名詞-一般			カン	和
44.01竹河	OH_OO渋谷源氏	4010	4020	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	4020	4030	I	君	君	キミ	名詞-普通名詞-一般			キミ	和
44.01竹河	OH_OO渋谷源氏	4030	4040	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	4040	4050	I	御	御	オオン	接頭辞			オオン	和
44.01竹河	OH_OO渋谷源氏	4050	4070	I	近き	近い	チカイ	形容詞-一般	文語形容詞-ク	連体形-一般	チカキ	和
44.01竹河	OH_OO渋谷源氏	4070	4100	I	ゆかり	縁	ユカリ	名詞-普通名詞-一般			ユカリ	和
