39.05夕霧	OH_OO渋谷源氏	3320	3340	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
39.05夕霧	OH_OO渋谷源氏	3340	3380	I	きこゆる	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連体形-一般	キコユル	和
39.05夕霧	OH_OO渋谷源氏	3380	3400	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
39.05夕霧	OH_OO渋谷源氏	3400	3410	I	を	を	ヲ	助詞-格助詞			オ	和
39.05夕霧	OH_OO渋谷源氏	3410	3450	I	のたまへ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	已然形-一般	ノタマエ	和
39.05夕霧	OH_OO渋谷源氏	3450	3460	I	ば	ば	バ	助詞-接続助詞			バ	和
39.05夕霧	OH_OO渋谷源氏	3460	3470	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	3470	3480	I	御	御	オオン	接頭辞			オオン	和
39.05夕霧	OH_OO渋谷源氏	3480	3490	I	顔	顔	カオ	名詞-普通名詞-一般			カオ	和
39.05夕霧	OH_OO渋谷源氏	3490	3510	I	うち	打ち	ウチ	接頭辞			ウチ	和
39.05夕霧	OH_OO渋谷源氏	3510	3530	I	赤め	赤める	アカメル	動詞-一般	文語下二段-マ行	連用形-一般	アカメ	和
39.05夕霧	OH_OO渋谷源氏	3530	3540	I	て	て	テ	助詞-接続助詞			テ	和
39.05夕霧	OH_OO渋谷源氏	3540	3550	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	3550	3560	I	「	「		補助記号-括弧開				記号
39.05夕霧	OH_OO渋谷源氏	3560	3590	I	心憂く	心憂い	ココロウイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロウク	和
39.05夕霧	OH_OO渋谷源氏	3590	3600	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	3600	3610	I	さ	然	サ	副詞			サ	和
39.05夕霧	OH_OO渋谷源氏	3610	3630	I	まで	まで	マデ	助詞-副助詞			マデ	和
39.05夕霧	OH_OO渋谷源氏	3630	3670	I	後らかし	遅らかす	オクラカス	動詞-一般	文語四段-サ行	連用形-一般	オクラカシ	和
39.05夕霧	OH_OO渋谷源氏	3670	3700	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
39.05夕霧	OH_OO渋谷源氏	3700	3720	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
39.05夕霧	OH_OO渋谷源氏	3720	3730	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.05夕霧	OH_OO渋谷源氏	3730	3740	I	や	や	ヤ	助詞-係助詞			ヤ	和
39.05夕霧	OH_OO渋谷源氏	3740	3750	I	」	」		補助記号-括弧閉				記号
39.05夕霧	OH_OO渋谷源氏	3750	3760	I	と	と	ト	助詞-格助詞			ト	和
39.05夕霧	OH_OO渋谷源氏	3760	3780	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
