05.02若紫	OH_OO渋谷源氏	2110	2170	I	あさましかり	浅ましい	アサマシイ	形容詞-一般	文語形容詞-シク	連用形-補助	アサマシカリ	和
05.02若紫	OH_OO渋谷源氏	2170	2180	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
05.02若紫	OH_OO渋谷源氏	2180	2190	I	を	を	ヲ	助詞-格助詞			オ	和
05.02若紫	OH_OO渋谷源氏	2190	2210	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
05.02若紫	OH_OO渋谷源氏	2210	2240	I	出づる	出でる	イデル	動詞-一般	文語下二段-ダ行	連体形-一般	イズル	和
05.02若紫	OH_OO渋谷源氏	2240	2260	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
05.02若紫	OH_OO渋谷源氏	2260	2270	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2270	2280	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
05.02若紫	OH_OO渋谷源氏	2280	2290	I	と	と	ト	助詞-格助詞			ト	和
05.02若紫	OH_OO渋谷源氏	2290	2310	I	とも	共	トモ	名詞-普通名詞-一般			トモ	和
05.02若紫	OH_OO渋谷源氏	2310	2320	I	の	の	ノ	助詞-格助詞			ノ	和
05.02若紫	OH_OO渋谷源氏	2320	2330	I	御	御	オオン	接頭辞			オオン	和
05.02若紫	OH_OO渋谷源氏	2330	2370	I	もの思ひ	物思い	モノオモイ	名詞-普通名詞-一般			モノオモイ	和
05.02若紫	OH_OO渋谷源氏	2370	2390	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
05.02若紫	OH_OO渋谷源氏	2390	2400	I	を	を	ヲ	助詞-格助詞			オ	和
05.02若紫	OH_OO渋谷源氏	2400	2410	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2410	2430	I	さて	然て	サテ	副詞			サテ	和
05.02若紫	OH_OO渋谷源氏	2430	2450	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
05.02若紫	OH_OO渋谷源氏	2450	2470	I	やみ	止む	ヤム	動詞-一般	文語四段-マ行	連用形-一般	ヤミ	和
05.02若紫	OH_OO渋谷源氏	2470	2480	I	な	ぬ	ヌ	助動詞	文語助動詞-ヌ	未然形-一般	ナ	和
05.02若紫	OH_OO渋谷源氏	2480	2490	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
05.02若紫	OH_OO渋谷源氏	2490	2500	I	と	と	ト	助詞-格助詞			ト	和
05.02若紫	OH_OO渋谷源氏	2500	2520	I	深う	深い	フカイ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	フコー	和
05.02若紫	OH_OO渋谷源氏	2520	2540	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
05.02若紫	OH_OO渋谷源氏	2540	2560	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
05.02若紫	OH_OO渋谷源氏	2560	2570	I	に	に	ニ	助詞-接続助詞			ニ	和
05.02若紫	OH_OO渋谷源氏	2570	2580	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2580	2600	I	いと	いと	イト	副詞			イト	和
05.02若紫	OH_OO渋谷源氏	2600	2620	I	憂く	憂い	ウイ	形容詞-一般	文語形容詞-ク	連用形-一般	ウク	和
05.02若紫	OH_OO渋谷源氏	2620	2630	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	2630	2640	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2640	2680	I	いみじき	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連体形-一般	イミジキ	和
05.02若紫	OH_OO渋谷源氏	2680	2690	I	御	御	ミ	接頭辞			ミ	和
05.02若紫	OH_OO渋谷源氏	2690	2710	I	気色	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
05.02若紫	OH_OO渋谷源氏	2710	2730	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
05.02若紫	OH_OO渋谷源氏	2730	2750	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
