22.03玉鬘	OH_OO渋谷源氏	2920	2960	I	いとほし	いとおしい	イトオシイ	形容詞-一般	文語形容詞-シク	語幹-一般	イトーシ	和
22.03玉鬘	OH_OO渋谷源氏	2960	2980	I	がれ	がる	ガル	接尾辞-動詞的	文語四段-ラ行	已然形-一般	ガレ	和
22.03玉鬘	OH_OO渋谷源氏	2980	2990	I	ば	ば	バ	助詞-接続助詞			バ	和
22.03玉鬘	OH_OO渋谷源氏	2990	3000	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	3000	3010	B	「	「		補助記号-括弧開				記号
22.03玉鬘	OH_OO渋谷源氏	3010	3020	I	何	何	ナニ	代名詞			ナニ	和
22.03玉鬘	OH_OO渋谷源氏	3020	3030	I	か	か	カ	助詞-係助詞			カ	和
22.03玉鬘	OH_OO渋谷源氏	3030	3040	I	。	。		補助記号-句点				記号
22.03玉鬘	OH_OO渋谷源氏	3040	3050	B	こ	是	コ	代名詞			コ	和
22.03玉鬘	OH_OO渋谷源氏	3050	3060	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	3060	3070	I	身	身	ミ	名詞-普通名詞-一般			ミ	和
22.03玉鬘	OH_OO渋谷源氏	3070	3080	I	は	は	ハ	助詞-係助詞			ワ	和
22.03玉鬘	OH_OO渋谷源氏	3080	3090	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	3090	3110	I	いと	いと	イト	副詞			イト	和
22.03玉鬘	OH_OO渋谷源氏	3110	3140	I	やすく	易い	ヤスイ	形容詞-一般	文語形容詞-ク	連用形-一般	ヤスク	和
22.03玉鬘	OH_OO渋谷源氏	3140	3170	I	はべり	侍る	ハベル	動詞-非自立可能	文語ラ行変格	終止形-一般	ハベリ	和
22.03玉鬘	OH_OO渋谷源氏	3170	3180	I	。	。		補助記号-句点				記号
22.03玉鬘	OH_OO渋谷源氏	3180	3190	B	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
22.03玉鬘	OH_OO渋谷源氏	3190	3210	I	一人	一人	ヒトリ	名詞-普通名詞-副詞可能			ヒトリ	和
22.03玉鬘	OH_OO渋谷源氏	3210	3220	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	3220	3240	I	御身	御身	オンミ	名詞-普通名詞-一般			オンミ	和
22.03玉鬘	OH_OO渋谷源氏	3240	3250	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	3250	3270	I	代へ	変える	カエル	動詞-一般	文語下二段-ハ行	連用形-一般	カエ	和
