16.02関屋	OH_OO渋谷源氏	3250	3260	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
16.02関屋	OH_OO渋谷源氏	3260	3270	I	は	は	ハ	助詞-係助詞			ワ	和
16.02関屋	OH_OO渋谷源氏	3270	3290	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
16.02関屋	OH_OO渋谷源氏	3290	3310	I	忘れ	忘れる	ワスレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	ワスレ	和
16.02関屋	OH_OO渋谷源氏	3310	3320	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
16.02関屋	OH_OO渋谷源氏	3320	3340	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
16.02関屋	OH_OO渋谷源氏	3340	3360	I	こと	事	コト	名詞-普通名詞-一般			コト	和
16.02関屋	OH_OO渋谷源氏	3360	3370	I	を	を	ヲ	助詞-格助詞			オ	和
16.02関屋	OH_OO渋谷源氏	3370	3380	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	3380	3410	I	心長く	心長い	ココロナガイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロナガク	和
16.02関屋	OH_OO渋谷源氏	3410	3420	I	も	も	モ	助詞-係助詞			モ	和
16.02関屋	OH_OO渋谷源氏	3420	3460	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
16.02関屋	OH_OO渋谷源氏	3460	3480	I	かな	哉	カナ	助詞-終助詞			カナ	和
16.02関屋	OH_OO渋谷源氏	3480	3490	I	」	」		補助記号-括弧閉				記号
16.02関屋	OH_OO渋谷源氏	3490	3500	I	と	と	ト	助詞-格助詞			ト	和
16.02関屋	OH_OO渋谷源氏	3500	3520	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
16.02関屋	OH_OO渋谷源氏	3520	3530	I	ゐ	居る	イル	動詞-非自立可能	文語上一段-ワ行	連用形-一般	イ	和
