34.01若菜上	OH_OO渋谷源氏	2950	2980	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.01若菜上	OH_OO渋谷源氏	2980	2990	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	2990	3000	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	3000	3020	I	高き	高い	タカイ	形容詞-一般	文語形容詞-ク	連体形-一般	タカキ	和
34.01若菜上	OH_OO渋谷源氏	3020	3030	I	位	位	クライ	名詞-普通名詞-副詞可能			クライ	和
34.01若菜上	OH_OO渋谷源氏	3030	3040	I	に	に	ニ	助詞-格助詞			ニ	和
34.01若菜上	OH_OO渋谷源氏	3040	3050	I	も	も	モ	助詞-係助詞			モ	和
34.01若菜上	OH_OO渋谷源氏	3050	3080	I	定まり	定まる	サダマル	動詞-一般	文語四段-ラ行	連用形-一般	サダマリ	和
34.01若菜上	OH_OO渋谷源氏	3080	3100	I	たま	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-省略	タマ	和
34.01若菜上	OH_OO渋谷源氏	3100	3130	I	べかり	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-補助	ベカリ	和
34.01若菜上	OH_OO渋谷源氏	3130	3140	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
34.01若菜上	OH_OO渋谷源氏	3140	3150	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
34.01若菜上	OH_OO渋谷源氏	3150	3160	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	3160	3170	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	3170	3190	I	取り	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
34.01若菜上	OH_OO渋谷源氏	3190	3210	I	立て	立てる	タテル	動詞-一般	文語下二段-タ行	連用形-一般	タテ	和
34.01若菜上	OH_OO渋谷源氏	3210	3230	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
34.01若菜上	OH_OO渋谷源氏	3230	3240	I	御	御	オオン	接頭辞			オオン	和
34.01若菜上	OH_OO渋谷源氏	3240	3260	I	後見	後ろ見	ウシロミ	名詞-普通名詞-一般			ウシロミ	和
34.01若菜上	OH_OO渋谷源氏	3260	3270	I	も	も	モ	助詞-係助詞			モ	和
34.01若菜上	OH_OO渋谷源氏	3270	3300	I	おはせ	おわす	オワス	動詞-非自立可能	文語サ行変格	未然形-一般	オワセ	和
34.01若菜上	OH_OO渋谷源氏	3300	3310	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
34.01若菜上	OH_OO渋谷源氏	3310	3320	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	3320	3340	I	母方	母方	ハハカタ	名詞-普通名詞-一般			ハハカタ	和
34.01若菜上	OH_OO渋谷源氏	3340	3350	I	も	も	モ	助詞-係助詞			モ	和
34.01若菜上	OH_OO渋谷源氏	3350	3360	I	そ	其	ソ	代名詞			ソ	和
34.01若菜上	OH_OO渋谷源氏	3360	3370	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	3370	3380	I	筋	筋	スジ	名詞-普通名詞-助数詞可能			スジ	和
34.01若菜上	OH_OO渋谷源氏	3380	3390	I	と	と	ト	助詞-格助詞			ト	和
34.01若菜上	OH_OO渋谷源氏	3390	3410	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
34.01若菜上	OH_OO渋谷源氏	3410	3420	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	3420	3480	I	ものはかなき	物果無い	モノハカナイ	形容詞-一般	文語形容詞-ク	連体形-一般	モノハカナキ	和
34.01若菜上	OH_OO渋谷源氏	3480	3500	I	更衣	更衣	コウイ	名詞-普通名詞-サ変可能			コーイ	漢
34.01若菜上	OH_OO渋谷源氏	3500	3510	I	腹	腹	ハラ	名詞-普通名詞-一般			ハラ	和
34.01若菜上	OH_OO渋谷源氏	3510	3520	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.01若菜上	OH_OO渋谷源氏	3520	3530	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	3530	3560	I	ものし	ものする	モノスル	動詞-非自立可能	文語サ行変格	連用形-一般	モノシ	和
34.01若菜上	OH_OO渋谷源氏	3560	3590	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.01若菜上	OH_OO渋谷源氏	3590	3610	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
34.01若菜上	OH_OO渋谷源氏	3610	3620	I	ば	ば	バ	助詞-接続助詞			バ	和
34.01若菜上	OH_OO渋谷源氏	3620	3630	I	、	、		補助記号-読点				記号
